SKU_ID,Mfg_Part_Num,Part_Desc,E1_Brand,Part_Manuf,MANUFACTURER_NAME,BRAND_NAME,TRADE_NAME,Classpath,MOBILE_DESC,INVOICE_DESC,UNSPSC,ATTRIBUTE_LABEL_1,ATTRIBUTE_VALUE_1,ATTRIBUTE_UOM_1,ATTRIBUTE_LABEL_2,ATTRIBUTE_VALUE_2,ATTRIBUTE_UOM_2,ATTRIBUTE_LABEL_3,ATTRIBUTE_VALUE_3,ATTRIBUTE_UOM_3,ATTRIBUTE_LABEL_4,ATTRIBUTE_VALUE_4,ATTRIBUTE_UOM_4,ATTRIBUTE_LABEL_5,ATTRIBUTE_VALUE_5,ATTRIBUTE_UOM_5
GT200-SKU-001,PDSH4816AF-V01,PDSH4816AF Dishwasher SS Built-In Variant 1,-- Unbranded --,Appliance Dealers Cooperative (APPDE),Rheem Manufacturing,FRIGIDAIRE®,FRIGIDAIRE,Appliances & Consumer Electronics>Kitchen Appliances>Built-In Dishwashers,"• FRIGIDAIRE® PDSH4816AF Dishwasher SS Built-In
• High Durability Industrial Grade",FRIGIDAIRE PDSH4816AF DISHWASHER SS BUILT,40100000,Voltage Rating,120,V,Amperage Rating,15,A,Sound Level,47,dBA,Material,Stainless Steel,,Depth With Door Open,50-1/4,in
GT200-SKU-002,WDTS7024RZ-V01,WDTS7024RZ Eco Series Dishwasher SS Variant 1,-- Unbranded --,Appliance Dealers Cooperative (APPDE),Whirlpool Corporation,Whirlpool®,Whirlpool,Appliances & Consumer Electronics>Kitchen Appliances>Built-In Dishwashers,"• Whirlpool® WDTS7024RZ Eco Series Dishwasher SS
• High Durability Industrial Grade",WHIRLPOOL WDTS7024RZ ECO SERIES DISHWASH,40100001,Voltage Rating,120,V,Amperage Rating,10,A,Sound Level,41,dBA,Material,Stainless Steel,,Depth With Door Open,50-3/16,in
GT200-SKU-003,D0724A-V01,Framing Saw Blade 7-1/4 in 24T Variant 1,-- Unbranded --,Freud Inc (2435),Freud Inc,Diablo®,Diablo,Tools & Hardware>Power Tool Accessories>Saw Blades,"• Diablo® Framing Saw Blade 7-1/4 in 24T
• High Durability Industrial Grade",DIABLO FRAMING SAW BLADE 7-1/4 IN 24T,40100002,Blade Diameter,7-1/4,in,Number of Teeth,24,,Arbor Size,5/8,in,Kerf Thickness,0.059,in,Material,Carbide,
GT200-SKU-004,3MABR-V01,Cubitron II Cut-Off Wheel 4-1/2 in Variant 1,-- Unbranded --,3 M Co (5293),3 M Co,3M®,3M,Tools & Hardware>Abrasives>Bonded Abrasives>Cut-Off Wheels,"• 3M® Cubitron II Cut-Off Wheel 4-1/2 in
• High Durability Industrial Grade",3M CUBITRON II CUT-OFF WHEEL 4-1/,40100003,Wheel Diameter,4-1/2,in,Thickness,0.045,in,Arbor Hole Size,7/8,in,Maximum Speed,13300,rpm,Abrasive Material,Precision Shaped Grain,
GT200-SKU-005,AUTONET-V01,Abranet 6 in Grip Mesh Disc 180 Grit Variant 1,-- Unbranded --,Mirka Abrasives Inc (MIRUS),Mirka Abrasives Inc,Mirka®,Mirka,Tools & Hardware>Abrasives>Coated Abrasives>Sanding Discs,"• Mirka® Abranet 6 in Grip Mesh Disc 180 Grit
• High Durability Industrial Grade",MIRKA ABRANET 6 IN GRIP MESH DISC 18,40100004,Disc Diameter,6,in,Grit,180,,Backing Weight,Mesh,,Abrasive Material,Aluminum Oxide,,Attachment Type,Grip,
GT200-SKU-006,KRAFTFORM-V01,Kraftform Plus Slotted Screwdriver 1/4 in Variant 1,-- Unbranded --,Wera Tools NA Inc (WERTO),Wera Tools NA Inc,Wera®,Wera,Tools & Hardware>Hand Tools>Screwdrivers,"• Wera® Kraftform Plus Slotted Screwdriver 1/4 in
• High Durability Industrial Grade",WERA KRAFTFORM PLUS SLOTTED SCREWDR,40100005,Tip Size,1/4,in,Shank Length,4,in,Handle Material,Multi-Component,,Overall Length,8-1/2,in,Tip Type,Slotted,
GT200-SKU-007,SHOCKWAVE-V01,Shockwave Impact Duty Insert Bit PH2 Variant 1,-- Unbranded --,Milwaukee Accessory (4031),Milwaukee Accessory,Milwaukee®,Milwaukee,Tools & Hardware>Power Tool Accessories>Driver Bits,"• Milwaukee® Shockwave Impact Duty Insert Bit PH2
• High Durability Industrial Grade",MILWAUKEE SHOCKWAVE IMPACT DUTY INSERT B,40100006,Drive Size,1/4,in,Bit Size,PH2,,Overall Length,1,in,Material,Alloy Steel,,Shank Type,Hex,
GT200-SKU-008,5362-W-V01,Extra Heavy Duty Industrial Grade Duplex Receptacle 20A 125V Variant 1,-- Unbranded --,Leviton Mfg Co (4927),Leviton Mfg Co,Leviton®,Leviton,Electrical & Lighting>Wiring Devices>Receptacles,"• Leviton® Extra Heavy Duty Industrial Grade Duplex Receptacle 20A 125V
• High Durability Industrial Grade",LEVITON EXTRA HEAVY DUTY INDUSTRIAL GR,40100007,Voltage Rating,125,V,Amperage Rating,20,A,NEMA Configuration,5-20R,,Number of Poles,2,,Color,White,
GT200-SKU-009,AH5966Y-V01,Arrow Hart Safety Grip Heavy Duty Plug 15A 125V Variant 1,-- Unbranded --,Cooper Wiring Devices (3560),Cooper Wiring Devices,Cooper®,Cooper,Electrical & Lighting>Wiring Devices>Plugs & Connectors,"• Cooper® Arrow Hart Safety Grip Heavy Duty Plug 15A 125V
• High Durability Industrial Grade",COOPER ARROW HART SAFETY GRIP HEAVY D,40100008,Voltage Rating,125,V,Amperage Rating,15,A,NEMA Configuration,5-15P,,Number of Wires,3,,Material,Nylon,
GT200-SKU-010,TYPE-X-V01,Fire-Rated Type X Gypsum Board 5/8 in x 4 ft x 8 ft Variant 1,-- Unbranded --,Certainteed Gypsum (2765),Certainteed Gypsum,CertainTeed®,CertainTeed,Building Materials>Drywall>Gypsum Panels,"• CertainTeed® Fire-Rated Type X Gypsum Board 5/8 in x 4 ft x 8 ft
• High Durability Industrial Grade",CERTAINTEED FIRE-RATED TYPE X GYPSUM BOARD,40100009,Thickness,5/8,in,Width,4,ft,Length,8,ft,Fire Rating,Type X,,Edge Detail,Tapered,
